teff,logg,feh,tv,mass,modelindex,fbol
2700,3.5,-0.5,1,0,1154,9.479441659735867
2700,3.5,0.75,1,0,1155,9.479477589231008
2700,3.5,-0.75,1,0,1156,9.47944590500606
2700,3.5,1,1,0,1157,9.479504561698768
2700,3.5,-1,1,0,1158,9.479453916324077
2700,3.5,-1.5,1,0,1159,9.479516388101922
2700,3.5,-2,1,0,1160,9.479526028809259
2700,3.5,-2.5,1,0,1161,9.479368949113407
2700,3.5,-4,1,0,1162,9.47907753404855
2700,3.5,0,2,0,1187,9.47947259750634
2700,3.5,0.25,2,0,1188,9.479484001530114
2700,3.5,-0.25,2,0,1189,9.479468102108289
2700,3.5,0.5,2,0,1190,9.479499402669333
2700,3.5,-0.5,2,0,1191,9.479474452403213
2700,3.5,0.75,2,0,1192,9.479523071078292
2700,3.5,-0.75,2,0,1193,9.47947431964947
2700,3.5,1,2,0,1194,9.479553046477253
2700,3.5,-1,2,0,1195,9.479478497697771
2700,3.5,-1.5,2,0,1196,9.479547691172417
2700,3.5,-2.5,2,0,1197,9.479438989469823
2700,3.5,-3,2,0,1198,9.479197475059165
2700,3.5,-4,2,0,1199,9.47907213462907
2700,3.5,0,5,0,1200,9.479523104340743
2700,4,0,0,0,1223,9.479453090830464
2700,4,0.25,0,0,1224,9.479456860898901
2700,4,-0.25,0,0,1225,9.479470946357438
2700,4,0.5,0,0,1226,9.479444703608515
2700,4,-0.5,0,0,1227,9.479472557923323
2700,4,0.75,0,0,1228,9.4794522457356
2700,4,-0.75,0,0,1229,9.479484542618929
2700,4,1,0,0,1230,9.47946869807932
2700,4,-1,0,0,1231,9.479519450869184
2700,4,-1.5,0,0,1232,9.479457039121556
2700,4,-2,0,0,1233,9.479508288133262
2700,4,-2.5,0,0,1234,9.479232452923183
2700,4,0,1,0,1258,9.479466004676716
2700,4,0.25,1,0,1259,9.479459053889595
2700,4,-0.25,1,0,1260,9.479469598571571
2700,4,0.5,1,0,1261,9.479459311798802
2700,4,-0.5,1,0,1262,9.479479959882118
2700,4,0.75,1,0,1263,9.479463854034835
2700,4,-0.75,1,0,1264,9.479499221997568
2700,4,1,1,0,1265,9.47948084345569
2700,4,-1,1,0,1266,9.479538430673207
2700,4,-1.5,1,0,1267,9.479370842688176
